CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Descricao_Bem_Ativo;Pais;UF;Municipio;Tipo_Propriedade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Barra dos Bugres;Brasil;MT;;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Mandaguaçu;Brasil;PR;Mandaguaçu;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Rancharia;Brasil;SP;Rancharia;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Santa Rita;Brasil;PB;Santa Rita;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Jataí;Brasil;GO;Jataí;Arrendada
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento de área;Brasil;PI;Ribeiro Gonçalves;Arrendada
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento e implementação de cultura permanente;Brasil;MA;São Raimundo das Mangabeiras;Arrendada
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento e implementação de cultura permanente;Brasil;MT;Alto Taquari;Arrendada
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento e implementação de cultura permanente;Brasil;MT;Alto Taquari;Própria
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento de área / Máquinas e Equipamentos / Benfeitorias;Brasil;BA;Jaborandi;Própria
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento e implementação de cultura permanente / Pivô / Desenv. área;Brasil;MA;São Raimundo das Mangabeiras;Própria
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento e implementação cultura permanente;Brasil;GO;Mineiros;Própria
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento de área;Brasil;PI;Baixa Grande do Ribeiro;Própria
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento de área / Pastagem / Benfeitorias;Brasil;BA;Baianópolis;Própria
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento de área / Máquinas e Equipamentos / Benfeitorias;Brasil;BA;Correntina;Própria
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Desenvolvimento de área / Benfeitorias;Brasil;MT;São Félix do Araguaia;Arrendada
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;Fazenda Âncora - Parque Industrial da Neomille.;Brasil;GO;Chapadão do Céu;Própria
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;Fazenda Âncora - Parque Industrial da Cerradinho Bioenergia S.A.;Brasil;GO;Chapadão do Céu;Própria
