CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Centro-Oeste;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Exterior;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Nordeste;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Norte;0;0;0;0;2
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Sudeste;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Sul;0;0;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Centro-Oeste;130;247;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Exterior;0;0;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Nordeste;5;2;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Norte;1;3;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Sudeste;1;6;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Sul;0;5;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sudeste;19;4;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Centro-Oeste;0;2;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Exterior;0;0;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Nordeste;1;1;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Norte;0;0;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Sudeste;37;96;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Sul;0;0;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Centro-Oeste;3;2;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Exterior;1;3;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Nordeste;8;37;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Norte;1;3;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sudeste;16;47;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sul;58;85;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Centro-Oeste;0;0;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Exterior;0;0;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Nordeste;0;0;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Norte;7;37;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Sudeste;9;14;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Sul;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Exterior;0;0;0;0;2
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Norte;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Sudeste;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Sul;0;0;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Centro-Oeste;1311;932;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Exterior;0;0;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Nordeste;3379;3747;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Norte;1125;1005;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sudeste;15129;14168;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sul;1679;1155;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Centro-Oeste;717;3789;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Exterior;0;0;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Nordeste;874;3056;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Norte;452;3365;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Sudeste;1131;3067;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Sul;9;72;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Centro-Oeste;12;176;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Exterior;0;0;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Nordeste;31;359;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Norte;0;0;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Sudeste;450;3761;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Sul;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Centro-Oeste;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Exterior;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Nordeste;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Norte;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Sudeste;13;18;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Sul;0;0;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Centro-Oeste;122;198;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Exterior;0;0;0;0;0
