CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;529;15;1;3187420;1.703000;1050877;0.697000;4238297;1.254000;2023-04-27
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;20;1;1;102022;0.036000;0;0.000000;102022;0.036000;2023-02-27
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;33260;298;3;89285651;99.825000;0;0.000000;89285651;99.825000;2023-04-28
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;1264;124;4;15919;2.010000;26651;1.696000;42570;1.801000;2024-04-30
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;21814;337;127;377225808;96.646000;0;0.000000;377225808;96.646000;2024-02-28
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;1;60;2;0;0.000000;0;0.000000;0;0.000000;2022-01-25
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-11-29
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;82852;1782;1486;835221269;49.642000;0;0.000000;835221269;49.642000;2023-04-12
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;0;1;1;0;0.000000;0;0.000000;0;0.000000;2023-04-28
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;19493;85;110;18525926;44.320000;0;0.000000;18525926;44.320000;2023-05-04
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;1627;40;3;6038014;63.587000;3336365;35.447000;9374379;49.579000;2023-12-15
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;0;4;1;0;0.000000;0;0.000000;0;0.000000;2014-12-26
01.968.293/0001-68;2023-12-31;3;135774;ELETRORIVER S.A.;7;1;0;8847269;28.697000;8847268;28.697000;17694537;28.697000;2022-05-20
01.989.044/0001-59;2023-12-31;1;127736;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;2;0;0;1000;100.000000;0;0.000000;1000;100.000000;2021-05-04
02.016.440/0001-62;2023-12-31;5;135827;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-28
