CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sudeste;21;664;182;796;2;0;743
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sul;2;140;21;83;0;0;95
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Exterior;0;0;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Nordeste;0;0;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Norte;0;0;0;0;0;0;2
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Sudeste;0;0;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Sul;0;0;0;0;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Centro-Oeste;0;0;0;0;0;0;377
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Exterior;0;0;0;0;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Nordeste;0;0;0;0;0;0;7
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Norte;0;0;0;0;0;0;4
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Sudeste;0;0;0;0;0;0;7
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Sul;0;0;0;0;0;0;5
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sudeste;0;23;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Centro-Oeste;0;2;0;0;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Exterior;0;0;0;0;0;0;0
