CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Norte;93;689;598;3287;28;162;0
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Sudeste;557;13888;6201;16717;130;2421;0
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Sul;41;1104;219;848;13;47;0
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Centro-Oeste;25;821;67;425;1;10;0
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Exterior;0;0;0;0;0;229;0
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Nordeste;19;577;116;538;0;11;0
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Norte;1;107;22;181;1;4;0
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Sudeste;169;7017;626;2770;13;40;0
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Sul;11;833;36;149;1;4;0
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Centro-Oeste;0;4;1;8;0;0;3
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Exterior;0;0;0;0;0;0;0
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Nordeste;19;475;139;817;0;1;32
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Norte;0;0;0;0;0;0;0
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Sudeste;0;0;0;0;0;0;0
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Sul;0;0;0;0;0;0;0
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Centro-Oeste;37;511;222;952;5;0;0
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Exterior;0;0;0;0;0;0;0
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Nordeste;182;3191;2211;8867;47;0;6
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Norte;19;348;158;1154;8;0;0
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Sudeste;30;939;384;1158;7;0;3
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Sul;7;287;61;164;3;0;0
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;Centro-Oeste;0;1;0;0;0;0;0
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;Exterior;0;0;0;0;0;0;0
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;Nordeste;0;0;0;0;0;0;0
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;Norte;0;0;0;0;0;0;0
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;Sudeste;0;45;0;6;0;0;24
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;Sul;0;0;0;0;0;0;0
07.040.108/0001-57;2023-12-31;7;136578;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Centro-Oeste;0;0;0;0;0;0;0
07.040.108/0001-57;2023-12-31;7;136578;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Exterior;0;0;0;0;0;0;0
07.040.108/0001-57;2023-12-31;7;136578;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Nordeste;7;463;46;662;0;0;7
07.040.108/0001-57;2023-12-31;7;136578;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Norte;0;0;0;0;0;0;0
07.040.108/0001-57;2023-12-31;7;136578;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Sudeste;0;0;0;0;0;0;0
07.040.108/0001-57;2023-12-31;7;136578;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Sul;0;0;0;0;0;0;0
07.043.628/0001-13;2023-12-31;2;128407;CLARO TELECOM PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0;0;0
07.043.628/0001-13;2023-12-31;2;128407;CLARO TELECOM PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0;0;0
07.043.628/0001-13;2023-12-31;2;128407;CLARO TELECOM PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0;0;0
07.043.628/0001-13;2023-12-31;2;128407;CLARO TELECOM PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0;0;0
07.043.628/0001-13;2023-12-31;2;128407;CLARO TELECOM PARTICIPAÇÕES S.A.;Sudeste;0;0;0;0;0;0;2
07.043.628/0001-13;2023-12-31;2;128407;CLARO TELECOM PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0;0;0
07.047.251/0001-70;2023-12-31;8;136509;CIA ENERGETICA DO CEARA - COELCE;Centro-Oeste;0;0;0;0;0;0;0
07.047.251/0001-70;2023-12-31;8;136509;CIA ENERGETICA DO CEARA - COELCE;Exterior;0;0;0;0;0;0;0
07.047.251/0001-70;2023-12-31;8;136509;CIA ENERGETICA DO CEARA - COELCE;Nordeste;5;263;39;281;0;2;394
07.047.251/0001-70;2023-12-31;8;136509;CIA ENERGETICA DO CEARA - COELCE;Norte;0;0;0;0;0;0;0
07.047.251/0001-70;2023-12-31;8;136509;CIA ENERGETICA DO CEARA - COELCE;Sudeste;1;33;4;10;0;0;17
07.047.251/0001-70;2023-12-31;8;136509;CIA ENERGETICA DO CEARA - COELCE;Sul;0;0;0;0;0;0;0
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Centro-Oeste;0;13;4;36;0;0;1
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Exterior;0;0;0;0;0;0;0
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Nordeste;121;1898;914;7794;35;0;24
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Norte;1;11;4;50;0;0;0
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Sudeste;25;1568;704;1821;10;0;12
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Sul;9;786;59;255;5;0;0
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Centro-Oeste;3;230;23;122;0;0;3
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Exterior;0;0;0;0;0;0;0
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Nordeste;59;4182;214;1711;12;0;22
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Norte;0;0;0;0;0;0;0
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Sudeste;0;11;0;1;0;0;1
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Sul;0;0;0;0;0;0;0
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Centro-Oeste;0;0;0;0;0;0;0
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Exterior;0;0;0;0;0;0;0
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Nordeste;2;12;0;0;0;0;0
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Norte;0;0;0;0;0;0;0
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Sudeste;0;0;0;0;0;0;0
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Sul;0;0;0;0;0;0;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Centro-Oeste;0;0;0;0;0;0;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Exterior;0;0;0;0;0;0;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Nordeste;0;2;0;0;0;0;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Norte;0;0;0;0;0;0;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Sudeste;0;0;0;0;0;0;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Sul;0;0;0;0;0;0;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Centro-Oeste;0;0;0;0;0;0;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Exterior;0;0;0;0;0;0;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Nordeste;0;0;0;0;0;0;204
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Norte;0;0;0;0;0;0;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Sudeste;0;0;0;0;0;0;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Sul;0;0;0;0;0;0;0
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Centro-Oeste;8;579;103;1415;4;41;0
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Exterior;0;1;0;0;0;0;0
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Nordeste;33;893;803;4038;13;607;0
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Norte;15;211;55;2020;1;6;0
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Sudeste;369;12074;2878;12010;54;822;0
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Sul;24;2126;102;784;1;776;0
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Centro-Oeste;0;0;0;0;0;0;0
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Exterior;0;0;0;0;0;0;0
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Nordeste;1;64;10;30;1;1;0
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Norte;0;8;5;27;0;0;0
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Sudeste;5;99;26;110;0;0;1
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Sul;0;175;5;16;0;0;3
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Centro-Oeste;20;377;152;607;5;8;264
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Exterior;0;0;0;0;0;0;0
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Nordeste;37;955;708;2111;16;35;975
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Norte;13;158;89;503;10;6;170
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Sudeste;174;6921;1822;4565;32;36;3423
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Sul;29;2196;266;630;10;9;876
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Centro-Oeste;14;137;97;221;6;5;1
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Exterior;0;0;0;0;0;0;1
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Nordeste;32;218;157;365;6;2;4
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Norte;0;0;0;1;0;0;0
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Sudeste;121;2349;822;1416;33;18;32
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Sul;5;216;31;42;2;0;2
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Centro-Oeste;0;23;16;0;0;0;0
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Exterior;1;73;1;0;0;0;2224
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Nordeste;0;0;0;0;0;0;0
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Norte;0;0;0;0;0;0;0
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Sudeste;248;11820;2140;0;7;0;139
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Sul;2;20;3;0;0;0;0
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Centro-Oeste;0;0;0;0;0;0;0
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Exterior;0;0;0;0;0;0;6
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Nordeste;0;0;0;0;0;0;0
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Norte;0;0;0;0;0;0;0
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Sudeste;0;0;0;0;0;0;216
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Sul;0;0;0;0;0;0;0
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;1
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Sudeste;0;14;0;0;0;0;0
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Centro-Oeste;0;1;0;0;0;0;0
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Exterior;0;0;0;0;0;0;0
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Nordeste;0;1;0;0;0;0;0
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Norte;0;0;0;0;0;0;0
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Sudeste;0;119;15;53;1;1;110
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Sul;0;7;0;2;0;0;2
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Centro-Oeste;0;0;0;0;0;0;0
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Exterior;0;0;0;0;0;0;0
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Nordeste;0;0;0;0;0;0;0
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Norte;0;0;0;0;0;0;0
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Sudeste;0;0;0;0;0;0;18
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Sul;0;0;0;0;0;0;0
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Centro-Oeste;0;0;0;0;0;0;302
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Exterior;0;0;0;0;0;0;667
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Nordeste;0;0;0;0;0;0;0
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Norte;0;0;0;0;0;0;161
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Sudeste;0;0;0;0;0;0;19
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Sul;0;0;0;0;0;0;0
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Centro-Oeste;0;0;0;0;0;0;0
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Exterior;0;7;0;0;0;0;0
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Nordeste;0;0;0;0;0;0;0
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Norte;0;0;0;0;0;0;0
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Sudeste;2;23;1;4;0;0;0
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Sul;0;0;0;0;0;0;0
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Centro-Oeste;0;0;0;0;0;0;0
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Exterior;0;0;0;0;0;0;0
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Nordeste;0;0;0;0;0;0;0
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Norte;0;0;0;0;0;0;0
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Sudeste;0;36;0;6;0;0;31
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Sul;0;0;0;0;0;0;0
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Centro-Oeste;0;50;6;30;0;0;2
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Exterior;0;0;0;0;0;0;0
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Nordeste;1;61;15;83;2;0;0
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Norte;0;27;5;36;2;0;0
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Sudeste;2;223;34;97;0;0;2
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Sul;0;32;1;20;0;0;1
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0;0;0
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0;0;0
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0;0;0
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0;0;0
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sudeste;0;0;0;0;0;0;683
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0;0;0
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Centro-Oeste;2;162;22;137;1;1;0
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Exterior;0;0;0;0;0;0;0
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Nordeste;16;204;59;346;1;2;0
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Norte;7;85;17;106;0;0;0
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Sudeste;38;1956;314;1302;5;2;0
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Sul;8;304;22;127;0;0;0
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Centro-Oeste;0;3;0;1;0;0;0
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Exterior;0;0;0;0;0;0;0
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Nordeste;0;1;0;0;0;0;0
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Norte;0;1;0;0;0;0;0
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Sudeste;5;205;32;100;0;0;1
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Sul;0;0;0;0;0;0;0
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Centro-Oeste;0;1;0;0;0;0;1
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Exterior;0;0;0;0;0;0;0
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Nordeste;0;7;1;8;0;0;2
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Norte;0;0;0;0;0;0;0
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Sudeste;5;85;15;35;1;0;265
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Sul;0;8;1;2;0;0;25
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Centro-Oeste;9;453;251;0;1;0;0
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Exterior;0;0;0;0;0;0;0
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Nordeste;1;35;80;0;0;0;0
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Norte;0;0;0;0;0;0;0
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Sudeste;22;717;778;0;2;0;0
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Sul;0;60;103;0;0;0;0
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Centro-Oeste;0;0;0;0;0;0;0
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Exterior;0;0;0;0;0;0;0
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Nordeste;0;0;0;0;0;0;0
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Norte;0;0;0;0;0;0;0
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Sudeste;7;1215;212;731;2;0;1324
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Sul;0;0;0;0;0;0;0
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Nordeste;5;4;66;78;0;0;0
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Norte;0;2;0;86;0;0;0
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Sudeste;17;1193;171;851;3;0;65
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Sudeste;1;357;58;613;0;0;51
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Centro-Oeste;0;0;0;0;0;0;0
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Exterior;0;0;0;0;0;0;0
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Nordeste;10;442;60;487;1;0;5
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Norte;0;0;0;0;0;0;0
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Sudeste;0;11;4;3;0;0;0
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Sul;0;0;0;0;0;0;0
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;Centro-Oeste;14;195;67;561;28;0;47
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;Nordeste;41;277;398;1303;59;0;1114
