CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;d;Resultado Bruto;140563000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;e;Resultado Líquido;19390099.71000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;f;Número de Ações, Ex-Tesouraria;801870.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;g;Valor Patrimonial da Ação (Reais Unidade);743.19000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;h;Resultado Básico por Ação;24.18110000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;i;Resultado Diluído por Ação;24.18000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;a;Patrimônio Líquido;689001000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;b;Ativo Total;849692000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;337953000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;d;Resultado Bruto;223561000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;e;Resultado Líquido;150193000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;f;Número de Ações, Ex-Tesouraria;320748000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;g;Valor Patrimonial da Ação (Reais Unidade);14.92000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;h;Resultado Básico por Ação;0.33800000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;i;Resultado Diluído por Ação;0.33700000;Consolidado;Real;Unidade
