CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;7374741;Ordinária Classe A;1084100975;100.000000
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;7374744;Ordinária Classe A;127089;100.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347442;Preferencial Classe R;51111965;20.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347442;Preferencial Classe A;980081;6.017000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347442;Preferencial Classe B;1031248;20.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347450;Preferencial Classe C;35947208;33.533000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347474;Preferencial Classe R;186558673;73.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347474;Preferencial Classe A;6684487;41.038000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347474;Preferencial Classe B;3764056;73.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347490;Preferencial Classe R;17889188;7.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347490;Preferencial Classe A;342946;2.105000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347490;Preferencial Classe B;360936;7.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347499;Preferencial Classe A;8281000;50.840000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347499;Preferencial Classe C;71252174;66.467000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347500;Preferencial Classe R;255559826;100.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347500;Preferencial Classe A;16288514;100.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347500;Preferencial Classe B;5156240;100.000000
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;7347500;Preferencial Classe C;107199382;100.000000
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;7375499;Ordinária Classe A;0;0.000000
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;7375501;Ordinária Classe A;0;100.000000
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;7103806;Ordinária Classe A;7;100.000000
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;7103808;Ordinária Classe A;7;100.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363540;Preferencial Classe A;2673312;3.277000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363540;Preferencial Classe B;34092604;49.282000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363581;Preferencial Classe A;37536000;46.007000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363581;Preferencial Classe B;0;0.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363710;Preferencial Classe A;40209312;49.283000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363710;Preferencial Classe B;34092604;49.282000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363726;Preferencial Classe A;185517;0.227000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363726;Preferencial Classe B;157288;0.227000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363733;Preferencial Classe A;54257561;9.905000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363737;Preferencial Classe A;55144456;10.067000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363741;Preferencial Classe A;1283203;0.234000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363805;Preferencial Classe A;3138758;0.573000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363849;Preferencial Classe A;27657084;5.049000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363857;Preferencial Classe A;1026563;0.187000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363881;Preferencial Classe A;513281;0.094000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363901;Preferencial Classe A;6987367;1.276000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363921;Preferencial Classe A;19609792;3.580000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363922;Preferencial Classe A;378134098;69.034000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363922;Preferencial Classe B;66261;100.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363923;Preferencial Classe A;547752163;100.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363923;Preferencial Classe B;66261;100.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363928;Preferencial Classe A;54257561;9.905000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363932;Preferencial Classe A;55144456;10.067000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7363936;Preferencial Classe A;1283203;0.234000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364000;Preferencial Classe A;3138758;0.573000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364044;Preferencial Classe A;27657084;5.049000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364052;Preferencial Classe A;1026563;0.187000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364076;Preferencial Classe A;513281;0.094000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364096;Preferencial Classe A;6987367;1.276000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364116;Preferencial Classe A;19609792;3.580000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364117;Preferencial Classe A;378134098;69.034000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364117;Preferencial Classe B;66261;100.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364118;Preferencial Classe A;547752163;100.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364118;Preferencial Classe B;66261;100.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364122;Preferencial Classe A;416296;0.510000
