CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Especie_Acao;Classe_Acao;Dividendo_Distribuido;Montante;Data_Pagamento_Dividendo
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;2020-04-01;2021-03-31;Ordinária;;Outros;197458866.81;2021-08-17
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;2021-04-01;2022-03-31;Ordinária;;Dividendo Obrigatório;198570737.19;2021-11-30
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;2021-04-01;2022-03-31;Ordinária;;Juros Sobre Capital Próprio;116147076.24;2021-11-30
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;2021-04-01;2022-03-31;Ordinária;;Outros;173993319.55;2021-11-30
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;2021-04-01;2022-03-31;Ordinária;;Outros;131464684.43;2022-08-16
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2019-03-01;2020-02-29;Ordinária;;Juros Sobre Capital Próprio;15000000.00;2019-09-12
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2019-03-01;2020-02-29;Ordinária;;Juros Sobre Capital Próprio;15000000.00;2019-12-23
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2019-03-01;2020-02-29;Ordinária;;Juros Sobre Capital Próprio;15000000.00;2020-03-12
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2019-03-01;2020-02-29;Ordinária;;Juros Sobre Capital Próprio;15000000.00;2019-07-16
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2019-03-01;2020-02-29;Ordinária;;Juros Sobre Capital Próprio;6000000.00;2019-07-11
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2019-03-01;2020-02-29;Ordinária;;Juros Sobre Capital Próprio;20000000.00;2019-04-17
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2020-03-01;2021-02-28;Ordinária;;Juros Sobre Capital Próprio;15000000.00;2020-06-24
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2020-03-01;2021-02-28;Ordinária;;Juros Sobre Capital Próprio;20000000.00;2021-01-12
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2020-03-01;2021-02-28;Ordinária;;Juros Sobre Capital Próprio;15000000.00;2020-09-14
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2020-03-01;2021-02-28;Ordinária;;Juros Sobre Capital Próprio;20000000.00;2021-03-31
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2020-03-01;2021-02-28;Ordinária;;Dividendo Obrigatório;150000000.00;2020-12-18
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2021-03-01;2022-02-28;Ordinária;;Juros Sobre Capital Próprio;20000000.00;2021-06-14
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2021-03-01;2022-02-28;Ordinária;;Juros Sobre Capital Próprio;25000000.00;2021-09-13
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2021-03-01;2022-02-28;Ordinária;;Juros Sobre Capital Próprio;25000000.00;2021-12-13
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2021-03-01;2022-02-28;Ordinária;;Juros Sobre Capital Próprio;25000000.00;2022-03-14
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;2020-01-01;2020-12-31;Ordinária;;;1104000.00;2021-04-17
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;2021-01-01;2021-06-30;Ordinária;;;0.00;
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;2021-07-01;2022-06-30;Ordinária;;;0.00;
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2019-07-01;2020-06-30;Ordinária;;Dividendo Obrigatório;635605.07;2020-06-30
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2019-07-01;2020-06-30;Ordinária;;Juros Sobre Capital Próprio;1666815.27;2019-07-30
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2019-07-01;2020-06-30;Preferencial;Preferencial Classe A;Juros Sobre Capital Próprio;3333318.47;2019-07-30
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2019-07-01;2020-06-30;Preferencial;Preferencial Classe A;Dividendo Obrigatório;1271040.13;2020-06-30
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2019-07-01;2020-06-30;Preferencial;Preferencial Classe A;Outros;1583577.32;2020-06-30
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2020-07-01;2021-06-30;Ordinária;;Dividendo Obrigatório;3245838.06;2021-11-22
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2020-07-01;2021-06-30;Preferencial;Preferencial Classe A;Dividendo Obrigatório;6490807.96;2021-11-22
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2021-07-01;2022-06-30;Ordinária;;Dividendo Obrigatório;5105371.80;
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2021-07-01;2022-06-30;Preferencial;;Dividendo Obrigatório;10209378.08;
